	, program, declaration-list, declaration, var-declaration, type-specifier, fun-declaration, params, param-list, param, compound-stmt, local-declarations, statement-list, statement, expression-stmt, selection-stmt, iteration-stmt, while-statement, for-statement, jump-stmt, expression, id-assign, simple-expression, relop, additive-expression, addop, term, mulop, factor, call, args, arg-list, num, pos-num, neg-num, value, $, ID, ;, int, void, float, (, ), λ, ' , {, }, if, else, while, for, return, break, =, <=, <, >, >=, ==, !=, &&, ||, →, +, -, *, /, INT_NUM, FLOAT_NUM, f,
state0,,S01,S120,S04,S05,S119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S107,S108,S109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state1,,,S03,S04,S05,S119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R02,,,S107,S108,S109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R02,,,R02,R02,R02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R04,,,R04,R04,R04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07,,,,S08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R06,,,R06,R06,R06,,,R06,,,,,,,,,,,,,,,,,,,,,,,,,,,
state8,,,,,S114,,S09,S111,S116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S107,S112,S109,,,S118,,,,,,,,,,,,,,,,,,,,,,,,,,,
state9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state10,,,,,,,,,,S11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S12,,,,,,,,,,,,,,,,,,,,,,,,,
state11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R10,,,R10,R10,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state12,,,,,,,,,,,S13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S110,,,,,,,,,,,,,,,,,,,,,,,,,,,
state13,,,,S105,S05,,,,,,,S14,,,,,,,,,,,,,,,,,,,,,,,,,,,S107,S108,S109,,,S106,,,,,,,,,,,,,,,,,,,,,,,,,,,
state64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R46,,,,,R46,,,,,,,,,,,,,,,,,,,,,R46,R46,R46,,,R46,R46,,
state65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R47,,,,,R47,,,,,,,,,,,,,,,,,,,,,R47,R47,R47,,,R47,R47,,
state66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R48,,,,,R48,,,,,,,,,,,,,,,,,,,,,R48,R48,R48,,,R48,R48,,
state67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R49,,,,,R49,,,,,,,,,,,,,,,,,,,,,R49,R49,R49,,,R49,R49,,
state68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R50,,,,,R50,,,,,,,,,,,,,,,,,,,,,R50,R50,R50,,,R50,R50,,
state69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R67,,R67,,,,,,,,,,,,,,,,,,,,,,,,,,
state70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R28,R28,,,,R28,,,,R28,R28,R28,R28,R28,R28,R28,R28,,,,,,,,,,R28,R28,R28,,,R28,R28,,
state72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R23,R23,,,,R23,,,,R23,R23,R23,R23,R23,R23,R23,R23,,,,,,,,,,R23,R23,R23,,,R23,R23,,
state73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R24,R24,,,,R24,,,,R24,R24,R24,R24,R24,R24,R24,R24,,,,,,,,,,R24,R24,R24,,,R24,R24,,
state74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state75,,,,,,,,,,,,,,,,,,,,S76,S20,S30,,S31,,S43,,S46,S47,,,S48,S49,S55,S54,,S23,,,,,S40,,,,,,,,,,,,,,,,,,,,,S34,S50,S56,,,S52,S53,,
state76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state77,,,,,,,,,,S72,,,S78,S17,S73,S81,S82,S88,S98,S18,S20,S30,,S31,,S43,,S46,S47,,,S48,S49,S55,S54,,S23,S71,,,,S40,,,,S12,,S74,,S83,S89,S99,S103,,,,,,,,,,S34,S50,S56,,,S52,S53,,
state78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R29,R29,,,,R29,,,,R29,R29,R29,S79,R29,R29,R29,R29,,,,,,,,,,R29,R29,R29,,,R29,R29,,
state79,,,,,,,,,,S72,,,S80,S17,S73,S81,S82,S88,S98,S18,S20,S30,,S31,,S43,,S46,S47,,,S48,S49,S55,S54,,S23,S71,,,,S40,,,,S12,,S74,,S83,S89,S99,S103,,,,,,,,,,S34,S50,S56,,,S52,S53,,
state80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R30,R30,,,,R30,,,,R30,R30,R30,R30,R30,R30,R30,R30,,,,,,,,,,R30,R30,R30,,,R30,R30,,
state81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R25,R25,,,,R25,,,,R25,R25,R25,R25,R25,R25,R25,R25,,,,,,,,,,R25,R25,R25,,,R25,R25,,
state82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R31,R31,,,,R31,,,,R31,R31,R31,R31,R31,R31,R31,R31,,,,,,,,,,R31,R31,R31,,,R31,R31,,
state83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state84,,,,,,,,,,,,,,,,,,,,S85,S20,S30,,S31,,S43,,S46,S47,,,S48,S49,S55,S54,,S23,,,,,S40,,,,,,,,,,,,,,,,,,,,,S34,S50,S56,,,S52,S53,,
